0,0,3,1.66093
0,0,5,2.4023
0,0,7,3.98643
0,0,11,7.93805
0,0,13,10.1601
0,0,15,13.4451
0,0,17,16.1587
0,0,19,19.1263
0,0,21,22.5116
0,0,23,27.1237
0,0,25,31.2187
0,0,27,36.608
0,0,29,41.3727
0,0,31,47.6344
0,1,3,1.48992
0,1,5,2.88256
0,1,7,4.98688
0,1,11,11.6122
0,1,13,15.913
0,1,15,20.9868
0,1,17,26.453
0,1,19,31.0313
0,1,21,37.7672
0,1,23,45.1492
0,1,25,53.2972
0,1,27,62.0585
0,1,29,71.4271
0,1,31,81.8135
0,2,3,1.4889
0,2,5,2.30605
0,2,7,3.74272
0,2,11,7.15469
0,2,13,9.09414
0,2,15,11.9153
0,2,17,14.2623
0,2,19,16.7301
0,2,21,19.7274
0,2,23,23.6134
0,2,25,27.2773
0,2,27,31.9734
0,2,29,36.095
0,2,31,41.5754
0,3,3,1.67731
0,3,5,2.48218
0,3,7,3.41402
0,3,11,6.26074
0,3,13,8.19507
0,3,15,10.2605
0,3,17,12.7652
0,3,19,14.9115
0,3,21,17.8504
0,3,23,21.1343
0,3,25,24.7327
0,3,27,28.8297
0,3,29,33.066
0,3,31,37.6248
